draw_number,date,day_of_week,num1,num2,num3,num4,num5,num6,additional_number,group1_prize,group1_winners,is_synthetic
3200,2016-09-26,Monday,6,9,15,27,37,48,24,0,0,False
3201,2016-09-29,Thursday,1,3,4,24,34,48,29,0,0,False
3202,2016-10-03,Monday,6,9,14,27,28,46,2,0,0,False
3203,2016-10-06,Thursday,6,13,19,25,26,39,35,0,0,False
3204,2016-10-10,Monday,3,18,24,30,35,49,44,0,0,False
3205,2016-10-13,Thursday,16,20,31,32,40,41,13,0,0,False
3206,2016-10-17,Monday,3,7,9,27,39,44,48,0,0,False
3207,2016-10-20,Thursday,5,14,20,23,36,49,30,0,0,False
3208,2016-10-24,Monday,2,15,18,24,34,35,48,0,0,False
3209,2016-10-27,Thursday,3,5,8,21,40,46,30,0,0,False
3210,2016-10-31,Monday,14,19,24,32,36,42,35,0,0,False
3211,2016-11-03,Thursday,1,11,19,26,35,39,14,0,0,False
3212,2016-11-07,Monday,1,13,21,41,48,49,22,0,0,False
3213,2016-11-10,Thursday,17,22,26,34,41,47,42,0,0,False
3214,2016-11-14,Monday,8,10,15,31,38,40,19,0,0,False
3215,2016-11-17,Thursday,1,21,31,36,39,43,38,0,0,False
3216,2016-11-21,Monday,4,21,25,40,47,48,49,0,0,False
3217,2016-11-24,Thursday,2,3,17,19,22,40,20,0,0,False
3218,2016-11-28,Monday,2,4,15,24,37,48,2,0,0,False
3219,2016-12-01,Thursday,3,4,8,19,24,46,4,0,0,False
3220,2016-12-05,Monday,5,9,11,19,24,37,19,0,0,False
3221,2016-12-08,Thursday,6,8,11,24,37,46,11,0,0,False
3222,2016-12-12,Monday,2,14,31,36,43,46,39,0,0,False
3223,2016-12-15,Thursday,4,18,24,39,46,47,10,0,0,False
3224,2016-12-19,Monday,10,11,24,27,36,49,43,0,0,False
3225,2016-12-22,Thursday,3,28,37,38,44,47,46,0,0,False
3226,2016-12-26,Monday,8,10,18,25,28,46,23,0,0,False
3227,2016-12-29,Thursday,2,4,34,36,42,46,15,0,0,False
3228,2017-01-02,Monday,1,18,22,35,38,49,30,0,0,False
3229,2017-01-05,Thursday,7,15,20,33,39,44,43,0,0,False
3230,2017-01-09,Monday,8,29,33,34,42,49,21,0,0,False
3231,2017-01-12,Thursday,3,6,12,25,40,43,42,0,0,False
3232,2017-01-16,Monday,2,7,17,21,35,42,16,0,0,False
3233,2017-01-19,Thursday,5,8,16,44,48,49,32,0,0,False
3234,2017-01-23,Monday,5,14,23,28,45,49,5,0,0,False
3235,2017-01-26,Thursday,8,12,16,19,22,46,6,0,0,False
3236,2017-01-30,Monday,21,22,25,27,32,39,6,0,0,False
3237,2017-02-02,Thursday,11,20,21,29,37,48,23,0,0,False
3238,2017-02-06,Monday,9,14,17,25,30,36,44,0,0,False
3239,2017-02-10,Friday,2,7,24,27,29,34,21,0,0,False
3240,2017-02-13,Monday,7,10,19,23,24,33,7,0,0,False
3241,2017-02-16,Thursday,8,17,31,43,44,48,46,0,0,False
3242,2017-02-20,Monday,2,6,13,17,23,46,17,0,0,False
3243,2017-02-23,Thursday,7,8,9,28,41,42,29,0,0,False
3244,2017-02-27,Monday,22,25,27,29,35,49,31,0,0,False
3245,2017-03-02,Thursday,8,14,20,35,36,41,38,0,0,False
3246,2017-03-06,Monday,16,22,28,36,39,47,3,0,0,False
3247,2017-03-09,Thursday,2,6,9,17,26,46,13,0,0,False
3248,2017-03-13,Monday,6,28,30,35,39,42,33,0,0,False
3249,2017-03-16,Thursday,2,9,15,19,20,37,29,0,0,False
3250,2017-03-20,Monday,6,20,30,41,42,45,35,0,0,False
3251,2017-03-23,Thursday,5,13,18,25,28,44,16,0,0,False
3252,2017-03-27,Monday,1,27,28,40,41,44,28,0,0,False
3253,2017-03-30,Thursday,28,34,38,39,42,46,24,0,0,False
3254,2017-04-03,Monday,1,28,30,32,40,48,31,0,0,False
